Gang of Four;Design Patterns;Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides;Addison-Wesley
Head First Design Patterns;Design Patterns;Eric Freeman, Elisabeth Robson, Bert Bates, Kathy Sierra;O'Reilly
Mastering Regular Expressions;Skills & Tools;Jeffrey E.F. Friedl;O'Reilly
Effektiv C++ Programmieren;C++;Scott Meyers;Addison-Wesley
Die C++ Programmiersprache;C++;Bjarne Stroustrup;Addison-Wesley
Modern C++ Design: Generic Programming and Design Patterns Applied;C++;Andrei Alexandrescu;Addison-Wesley (Kindle)
Refactoring;Design Patterns;Martin Fowler;Addison-Wesley
Version Control with Subversion;Version Control;C- Michael Pilato et al.;O'Reilly
Secure Coding in C and C++;C++;Robert C. Seacord;Addison-Wesley
Exceptional C++;C++;Herb Sutter;Addison-Wesley
Algorithms in C (Parts 1-5);C;Robert Sedgewick;Addison-Wesley
Moderne Betriebssysteme;Skills & Tools;Andrew S. Tanenbaum;Pearson
Seven Concurrency Models [...];Skills & Tools;Paul Butcher;The Pragmatic Bookshelf
Effektives Arbeiten mit Legacy Code;Skills & Tools;Michael C. Feathers;mitp
Test Driven Development for Embedded C;Skills & Tools;James W. Grenning;The Pragmatic Bookshelf
Mastering CMake;Skills & Tools;Ken Martin, Bill Hofmann;Kitware
Version Control with Git;Skills & Tools;Jon Loeliger, Matthew McCullough;O'Reilly
Language Implementation Patterns;Skills & Tools;Terence Parr;The Pragmatic Bookshelf
